,business_url,business_name,business_description,user_name,feedback_score,number_of_items,followers,user_since,location
31,https://www.ebay.com/str/dwflags,Devil Woman Flags,"STAND OUT FROM THE CROWD WITH YOUR OWN UNIQUE FLAG!Devil Woman Flags has been making flags for all of your toys since 2002.You can put DW-Flags on Dune Buggies, Jeeps, ATV/UTV's, Dirt Bikes, Air Boats, Scooters, Kayaks, Boats, Recumbent Bikes and Trikes, and even Hammocks.If you have any questions, please don't hesitate to send me a message. :)",dw-flags,3516,852,298,"Aug 26, 2000",United States
32,https://www.ebay.com/str/discountdecorativeflags,Discount Decorative Flags,"Welcome to Discount Decorative Flags where our mission is providing you the widest variety of garden flags, decorative flags, house flags, magnetic mailbox covers, doormats, windsocks & more at the lowest prices on the web. If you like what you see, please add us to your favorite sellers list!",discountdecorativeflags,118657,3726,"3,439","Dec 30, 2009",United States
33,https://www.ebay.com/str/discountflagsplus,Discount Flags Plus,"Welcome to my eBay Store. Thank you for your business. Don't want to wait? Try our TOLL FREE ORDER LINE 877.795.0488! We strive to provide a quality eBay experience. If your transaction is less than perfect, please write to me personally! Stan - Discount Flags Plus",goldstrikeoutpost,21841,na,160,"Jul 09, 2006",United States
34,https://www.ebay.com/str/drvexflagnoveltycollectables,Dr Vex Flag Novelty Collectables,"Dr Vex Flag sells International, Novelty and Collectible Items. Flags, key chains, pins, stickers, and patches of the World, 50 States, Patriotic, Military, Novelty, NFL, MLB, NHL, Looney Tunes, Coat of Arms, Olympic collectables well as old games, memorabilia, toys, dolls, and many other items.",drvexflag,6140,2133,57,"Feb 12, 2004",United States
35,https://www.ebay.com/str/ehtflags,EHT Flags,"Big enough to service all your flag needs, small enough to care. We stand behind every flag we sell with a no questions ask money back policy. We offer a high quality product at a very fair price. 10% of all profits go to support the Wounded Warrior Project.",eht-flags,8696,598,229,"Aug 28, 2007",United States
36,https://www.ebay.com/str/fallenflagsjunction,Fallen Flags Junction,none,fallenflagsstore,52,2,2,"Jul 31, 2020",United States
37,https://www.ebay.com/str/featherflagnation,Feather-Flag-Nation,Our toll free number is: 877-900-5692Our business days are MONDAY-THURSDAY 10am to 5pm PST.Orders placed before 12pm PST USUALLY ship same day.Custom orders time will vary.Please call if you have any questions.www.FeatherFlagNation.com,feather-flag-nation,7911,6,242,"Feb 21, 2008",United States
38,https://www.ebay.com/str/flagbrand,Flag Brand,"Please add me to your list of favorite sellers and come again. I offer Other Stones, Materials, and Other Badges, Patches.",mspearlriver,881,913,13,"Aug 29, 2007",United States
39,https://www.ebay.com/str/flagforkantiquescraftsandmore,Flag Fork Antiques Crafts and More,"Welcome to Flag Fork Antiques, in business for over 35 years. We specialize in Paintings, Folk Art, Pottery & Ceramics, Dishware, Christmas & Holiday collectibles, Linens, Needlework Kits & Patterns, Ephemera, Jewelry & Accessories & the unique and unusual! We add new items daily!",ffhfantiques,2318,728,45,"Dec 24, 2002",United States
40,https://www.ebay.com/str/flagmeadowantiques,Flag Meadow Antiques,Welcome to our eBay Store. Please add me to your list of favorite sellers and visit often. Thank you for your business. We sell fine antiques and items of unusual interest plus a little bit of junk.,meadowants,6855,217,182,"Nov 18, 1998",United States
41,https://www.ebay.com/str/flagstoreusa,Flag Store USA,"US FLAGS! We make the highest quality flags for all occasions. USA, international, or maritime flags. 3x5 4x6 5x8 6x10 8x12 10x15 and more. Pick your size up to the largest 20x30 flags. 2 3 4 5 6 8 10 12 15 20 30",toben88,1641,1,0,"Sep 29, 2001",United States
42,https://www.ebay.com/str/flagannovelty,Flag an novelty,none,eagletess1,102,124,0,"Aug 11, 2013",United States
43,https://www.ebay.com/str/flagofulysses,Flag of Ulysses,none,xxdochollidayxx,540,7,0,"Jun 08, 2014",United States
44,https://www.ebay.com/str/flagdomfeatherflags,Flagdom Feather Flags,none,flagdom_com,771,65,22,"Aug 06, 2014",United States
45,https://www.ebay.com/str/flaggedfinds,Flagged Finds,none,hilfl_38,53,319,7,"Dec 19, 2019",United States
46,https://www.ebay.com/str/flagsandrags,Flags And Rags,Welcome to my eBay Store. Please add me to your list of favorite sellers and visit often. Thank you for your business.,roguem1,165,75,2,"May 30, 2016",United States
47,https://www.ebay.com/str/flagsforfifteen,Flags For Fifteen,none,campbellmerch,638,231,8,"May 08, 2017",United States
48,https://www.ebay.com/str/flagslicensetagsandmore,Flags License Tags and More,none,shawmarki,4308,1774,71,"Jun 10, 2014",United States
